iso_code3,iso_code2,pik_name,cait_name,ndcp_navigators_name,wri_standard_name,unfccc_group,location_type,show_in_cw
MDA,,Moldova,Moldova,Moldova (the Republic of),Moldova,UNFCCC Non-Annex I,COUNTRY,Yes
MDG,,Madagascar,Madagascar,Madagascar,Madagascar,UNFCCC Non-Annex I,COUNTRY,Yes
MDV,,Maldives,Maldives,Maldives,Maldives,UNFCCC Non-Annex I,COUNTRY,Yes
MEX,,Mexico,Mexico,Mexico,Mexico,UNFCCC Non-Annex I,COUNTRY,Yes
MHL,,Marshall Islands,,Marshall Islands (the),Marshall Islands,UNFCCC Non-Annex I,COUNTRY,Yes
MKD,,"Macedonia, Republic of","Macedonia, FYR",Macedonia (the former Yugoslav Republic of),Macedonia,UNFCCC Non-Annex I,COUNTRY,Yes
MLI,,Mali,Mali,Mali,Mali,UNFCCC Non-Annex I,COUNTRY,Yes
MLT,,Malta,Malta,Malta,Malta,UNFCCC Annex I,COUNTRY,Yes
MMR,,Myanmar,Myanmar,Myanmar,Myanmar,UNFCCC Non-Annex I,COUNTRY,Yes
MNE,,Montenegro,Montenegro,Montenegro,Montenegro,UNFCCC Non-Annex I,COUNTRY,Yes
MNG,,Mongolia,Mongolia,Mongolia,Mongolia,UNFCCC Non-Annex I,COUNTRY,Yes
MOZ,,Mozambique,Mozambique,Mozambique,Mozambique,UNFCCC Non-Annex I,COUNTRY,Yes
MRT,,Mauritania,Mauritania,Mauritania,Mauritania,UNFCCC Non-Annex I,COUNTRY,Yes
MUS,,Mauritius,Mauritius,Mauritius,Mauritius,UNFCCC Non-Annex I,COUNTRY,Yes
MWI,,Malawi,Malawi,Malawi,Malawi,UNFCCC Non-Annex I,COUNTRY,Yes
MYS,,Malaysia,Malaysia,Malaysia,Malaysia,UNFCCC Non-Annex I,COUNTRY,Yes
NAM,,Namibia,Namibia,Namibia,Namibia,UNFCCC Non-Annex I,COUNTRY,Yes
NER,,Niger,Niger,Niger (the),Niger,UNFCCC Non-Annex I,COUNTRY,Yes
NGA,,Nigeria,Nigeria,Nigeria,Nigeria,UNFCCC Non-Annex I,COUNTRY,Yes
NIC,,Nicaragua,Nicaragua,Nicaragua,Nicaragua,UNFCCC Non-Annex I,COUNTRY,Yes
NIU,,Niue,Niue,,Niue,UNFCCC Non-Annex I,COUNTRY,Yes
NLD,,Netherlands,Netherlands,Netherlands (the),Netherlands,UNFCCC Annex I,COUNTRY,Yes
NONANNEXI,Non-Annex-I Parties to the Convention,,,,,,GROUP,No
NOR,,Norway,Norway,Norway,Norway,UNFCCC Annex I,COUNTRY,Yes
NPL,,Nepal,Nepal,Nepal,Nepal,UNFCCC Non-Annex I,COUNTRY,Yes
NRU,,Nauru,Nauru,Nauru,Nauru,UNFCCC Non-Annex I,COUNTRY,Yes
NZL,,New Zealand,New Zealand,New Zealand,New Zealand,UNFCCC Annex I,COUNTRY,Yes
OMN,,Oman,Oman,Oman,Oman,UNFCCC Non-Annex I,COUNTRY,Yes
PAK,,Pakistan,Pakistan,Pakistan,Pakistan,UNFCCC Non-Annex I,COUNTRY,Yes
PAN,,Panama,Panama,Panama,Panama,UNFCCC Non-Annex I,COUNTRY,Yes
PCN,,Pitcairn,,,,,COUNTRY,No
PER,,Peru,Peru,Peru,Peru,UNFCCC Non-Annex I,COUNTRY,Yes
PHL,,Philippines,Philippines,Philippines (the),Philippines,UNFCCC Non-Annex I,COUNTRY,Yes
PLW,,Palau,Palau,Palau,Palau,UNFCCC Non-Annex I,COUNTRY,Yes
PNG,,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea,UNFCCC Non-Annex I,COUNTRY,Yes
POL,,Poland,Poland,Poland,Poland,UNFCCC Annex I,COUNTRY,Yes
PRK,,"Korea, Democratic People's Republic of","Korea, Dem. Rep. (North)",Korea (the Democratic People's Republic of),North Korea,UNFCCC Non-Annex I,COUNTRY,Yes
PRT,,Portugal,Portugal,Portugal,Portugal,UNFCCC Annex I,COUNTRY,Yes
PRY,,Paraguay,Paraguay,Paraguay,Paraguay,UNFCCC Non-Annex I,COUNTRY,Yes
QAT,,Qatar,Qatar,Qatar,Qatar,UNFCCC Non-Annex I,COUNTRY,Yes
ROU,,Romania,Romania,Romania,Romania,UNFCCC Annex I,COUNTRY,Yes
RUS,,Russian Federation,Russian Federation,Russian Federation (the),Russia,UNFCCC Annex I,COUNTRY,Yes
RWA,,Rwanda,Rwanda,Rwanda,Rwanda,UNFCCC Non-Annex I,COUNTRY,Yes
SAU,,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,UNFCCC Non-Annex I,COUNTRY,Yes
SDN,,Sudan,Sudan,Sudan (the),Sudan,UNFCCC Non-Annex I,COUNTRY,Yes
SEN,,Senegal,Senegal,Senegal,Senegal,UNFCCC Non-Annex I,COUNTRY,Yes
SGP,,Singapore,Singapore,Singapore,Singapore,UNFCCC Non-Annex I,COUNTRY,Yes
SHN,,Saint Helena,,,,,COUNTRY,No
SLB,,Solomon Islands,Solomon Islands,Solomon Islands (the),Solomon Islands,UNFCCC Non-Annex I,COUNTRY,Yes
SLE,,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,UNFCCC Non-Annex I,COUNTRY,Yes
SLV,,El Salvador,El Salvador,El Salvador,El Salvador,UNFCCC Non-Annex I,COUNTRY,Yes
SMR,,San Marino,,San Marino,San Marino,UNFCCC Non-Annex I,COUNTRY,Yes
SOM,,Somalia,,Somalia,Somalia,UNFCCC Non-Annex I,COUNTRY,Yes
SRB,,Serbia,Serbia,Serbia,Republic of Serbia,UNFCCC Non-Annex I,COUNTRY,Yes
SSD,,South Sudan,,South Sudan,South Sudan,UNFCCC Non-Annex I,COUNTRY,Yes
STP,,Sao Tome and Principe,Sao Tome & Principe,Sao Tome and Principe,Sao Tome and Principe,UNFCCC Non-Annex I,COUNTRY,Yes
SUR,,Suriname *,Suriname,Suriname,Suriname,UNFCCC Non-Annex I,COUNTRY,Yes
SVK,,Slovakia,Slovakia,Slovakia,Slovakia,UNFCCC Annex I,COUNTRY,Yes
SVN,,Slovenia,Slovenia,Slovenia,Slovenia,UNFCCC Annex I,COUNTRY,Yes
SWE,,Sweden,Sweden,Sweden,Sweden,UNFCCC Annex I,COUNTRY,Yes
SWZ,,Swaziland,Swaziland,Swaziland,Swaziland,UNFCCC Non-Annex I,COUNTRY,Yes
SYC,,Seychelles,Seychelles,Seychelles,Seychelles,UNFCCC Non-Annex I,COUNTRY,Yes
SYR,,Syrian Arab Republic (Syria),Syria,Syrian Arab Republic (the),Syria,UNFCCC Non-Annex I,COUNTRY,Yes
TCA,,Turks and Caicos Islands,,,,,COUNTRY,No
TCD,,Chad,Chad,Chad,Chad,UNFCCC Non-Annex I,COUNTRY,Yes
TGO,,Togo,Togo,Togo,Togo,UNFCCC Non-Annex I,COUNTRY,Yes
THA,,Thailand,Thailand,Thailand,Thailand,UNFCCC Non-Annex I,COUNTRY,Yes
TJK,,Tajikistan,Tajikistan,Tajikistan,Tajikistan,UNFCCC Non-Annex I,COUNTRY,Yes
TKL,,Tokelau,,,,,COUNTRY,No
TKM,,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan,UNFCCC Non-Annex I,COUNTRY,Yes
TLS,,Timor-Leste,,Timor-Leste,Timor-Leste,UNFCCC Non-Annex I,COUNTRY,Yes
TON,,Tonga,Tonga,Tonga,Tonga,UNFCCC Non-Annex I,COUNTRY,Yes
TTO,,Trinidad and Tobago,Trinidad & Tobago,Trinidad and Tobago,Trinidad and Tobago,UNFCCC Non-Annex I,COUNTRY,Yes
TUN,,Tunisia,Tunisia,Tunisia,Tunisia,UNFCCC Non-Annex I,COUNTRY,Yes
TUR,,Turkey,Turkey,Turkey,Turkey,UNFCCC Annex I,COUNTRY,Yes
TUV,,Tuvalu,,Tuvalu,Tuvalu,UNFCCC Non-Annex I,COUNTRY,Yes
TWN,,"Taiwan, Republic of China",,,,,COUNTRY,No
TZA,,"Tanzania *, United Republic of",Tanzania,Tanzania (United Republic of),Tanzania,UNFCCC Non-Annex I,COUNTRY,Yes
UGA,,Uganda,Uganda,Uganda,Uganda,UNFCCC Non-Annex I,COUNTRY,Yes
UKR,,Ukraine,Ukraine,Ukraine,Ukraine,UNFCCC Annex I,COUNTRY,Yes
UMBRELLA,Umbrella Group,,,,,,GROUP,No
URY,,Uruguay,Uruguay,Uruguay,Uruguay,UNFCCC Non-Annex I,COUNTRY,Yes
USA,,United States of America,United States,United States (the),United States,UNFCCC Annex I,COUNTRY,Yes
UZB,,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UNFCCC Non-Annex I,COUNTRY,Yes
VAT,,Holy See (Vatican City State),,,,,COUNTRY,No
VCT,,Saint Vincent and Grenadines,Saint Vincent & Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,UNFCCC Non-Annex I,COUNTRY,Yes
VEN,,Venezuela (Bolivarian Republic of),Venezuela,Venezuela (Bolivarian Republic of),Venezuela,UNFCCC Non-Annex I,COUNTRY,Yes
VGB,,British Virgin Islands,,,,,COUNTRY,No
VNM,,Viet Nam,Vietnam,Viet Nam,Vietnam,UNFCCC Non-Annex I,REGION,Yes
VUT,,Vanuatu,Vanuatu,Vanuatu,Vanuatu,UNFCCC Non-Annex I,REGION,Yes
WSM,,Samoa,Samoa,Samoa,Samoa,UNFCCC Non-Annex I,REGION,Yes
YEM,,Yemen,Yemen,Yemen,Yemen,UNFCCC Non-Annex I,REGION,Yes
ZAF,,South Africa,South Africa,South Africa,South Africa,UNFCCC Non-Annex I,REGION,Yes
ZMB,,Zambia,Zambia,Zambia,Zambia,UNFCCC Non-Annex I,REGION,Yes
ZWE,,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,UNFCCC Non-Annex I,REGION,Yes
AFR,,,,Africa,,,,
LAC,,,,Latin America and Caribbean,,,,
NAM,,,,North America,,,,
ASA,,,,Asia,,,,
OCA,,,,Oceania,,,,
SIDS,,,Small Island Developing States,,,,,
